Criteria	CritShortName	Sequence	RowTitle	Level 1	Level 2	Level 3	Level 4
"Assisting instructional staff with alignment of curriculum, instruction and assessment with state and local district learning goals."	C4	1	4.1 Alignment of curricula to state and local district learning goals	Has incomplete or insufficient knowledge of state and local district learning goals across grades and content areas; has insufficient knowledge to evaluate curricula; does not effectively assist staff to align curricula to state and district learning goals	Has emerging knowledge and understanding of state and local district learning goals across grades and content areas to facilitate some alignment activities with staff	Every class has a curriculum based on the standards of the state and district learning goals/targets; has deep knowledge of state and district learning goals and how to align these with curricula for diverse populations; systematically focuses staff on alignment; establishes a system that uses a feedback loop from the instruction and assessment alignment work to make makes adjustments to curricula	Is proficient AND provides leadership and support such that all teachers have fully aligned curriculum materials (including high achieving) and training on how to use them; staff takes ownership of the alignment processes of goals to curricula;  staff understand alignment of curricula to state and local district learning goals as foundational to the improvement of teaching and learning; staff use feedback loop from their classroom instructional practices and assessments to suggest adjustments to curricula
"Assisting instructional staff with alignment of curriculum, instruction and assessment with state and local district learning goals."	C4	2	4.2  Alignment of best instructional practices to state and district learning goals	Has incomplete or insufficient knowledge of best instructional practices across grades level and content areas; does not effectively assist staff to align instructional practices to state and district learning goals	Has sufficient  knowledge and understanding of best instructional practices across grades levels and content areas to facilitate some alignment activities with staff; emerging knowledge of culturally-relevant teaching & learning methodologies	"Has deep knowledge of best instructional practices for diverse populations and how to align these with curricula; systematically focuses staff on alignment; establishes a system for ongoing alignment that involves  staff; continually supports, monitors alignment and makes adjustments; has teacher teams cooperatively plan aligned units, reviews them and then gives teachers feedback; reads and shares research that fosters an ongoing, school wide discussion on best practices for non-proficient to above proficient students"	"Is proficient AND provides leadership and support such that staff understand alignment of best instructional practice to state and district learning goals as foundational to the improvement of teaching and learning ; staff takes ownership and backward-design high quality, aligned units to discuss with their teams; ensures that staff is current on professional literature regarding instructional practices"
"Assisting instructional staff with alignment of curriculum, instruction and assessment with state and local district learning goals."	C4	3	4.3 Alignment of assessment practices to best instructional practices	"Has incomplete or insufficient knowledge of assessment in terms of reliability, validity and fairness; does not effectively assist staff to align assessments to instructional practices"	"Has emerging knowledge and understanding of assessment in terms of reliability, validity and fairness; facilitates the  implementation of  certain aspects of a balanced (diagnostic, formative and summative) assessment system; facilitates the alignment  of assessment to best instructional practices in some grade levels"	"Has deep knowledge of assessment; every course has a document (syllabus, course outline or learning objectives) that identifies the learning outcomes in language accessible to students and parents; student work created in response to teachers’ assessments of the learning outcomes accurately reflect the state standards and district learning goals/targets; continually provides support to systematically focus staff on alignment of assessment to instruction using best practices; establishes a system for ongoing alignment of formative and summative assessment that involves staff members"	Is proficient AND provides leadership and support such that staff takes ownership of the alignment processes of assessment to instructional practices;  staff understand the alignment of assessment to teaching as foundational to the improvement of teaching and learning
"Monitoring, assisting and evaluating effective instruction and assessment practices."	C5	1	5.1 Monitors instruction and assessment practices	Does not adequately monitor instruction and assessment practices of staff; untimely and irregular evaluations; provides insufficient feedback to staff regarding instruction and assessment practices	Develops and uses observable systems and routines for monitoring instruction and assessment practices; provides some effective feedback to staff; feedback is  linked back to instruction and assessment; partly  familiar with evaluating technology-rich instruction	"Develops and uses observable systems and routines for monitoring instruction and assessment; uses data consistently to provide staff meaningful, personal feedback that is effective for improving instruction and assessment practices; ensures that teachers go beyond what students fail to learn and delve into why (root causes); deep understanding of evaluating technology-rich instruction"	"Is proficient AND consistently demonstrates leadership  in the practice of monitoring effective instruction and assessment practices; develops exemplary systems and routines for effective observation of staff; shares systems and routines with colleagues and stakeholders; regularly monitors, reflects on and  develops or adjusts systems as needed to improve assessment practices"
"Monitoring, assisting and evaluating effective instruction and assessment practices."	C5	2	"5.2 Assists staff in developing required student growth plan and identifying valid, reliable sources of evidence of effectiveness"	"Does not meet with faculty members to develop, review and modify student growth plans; student growth plans do not meet minimum requirements; does not assist staff in the identification of performance indicators or performance indicators are not sufficient; assessment results of selected teachers show little to no academic growth of students  "	"Meets minimum teachers’ contract requirements to develop, review and modify student growth plans (individual or group plans) based on identified areas of need; assists identification of  performance indicators  to monitor and benchmark progress; assessment results of selected teachers show minimum academic growth of students"	"Meets with faculty members regularly (beyond minimum teachers ‘contract)  to develop, review and modify student growth plans (individual or group plans); assists identification of performance indicators to benchmark progress; research-based planning and performance-linked goal setting strategies, such as “SMART” goals, are used allowing timely feedback to make mid-course corrections and improve teacher practice; assessment results of selected teachers show measurable and improving academic growth of students "	Is proficient AND consistently demonstrates leadership in the practice of developing comprehensive student growth plans; regularly meets with faculty members to reflect on student growth plans and progress; assessment results of selected teachers show consistent academic growth of students
"Monitoring, assisting and evaluating effective instruction and assessment practices."	C5	3	5.3 Assists staff in implementing effective instruction and assessment practices	Does not fully support staff in their efforts to improve teaching and assessment; does not have knowledge or understanding of best instruction and assessment practices; does not make assisting staff in improved teaching and assessment a priority	Facilitates staff in the implementation of effective instruction and balanced assessment systems assessments; emerging knowledge of applied learning theories to create a personalized and motivated learning environment	Facilitates and supports staff in the implementation of effective instruction and assessment practices; has deep and thorough knowledge and understanding of best practices in instruction and assessment; devotes considerable time and effort to the improvement of instruction and assessment; assists staff to use the most effective and appropriate technologies to support teaching and learning	Is proficient AND serves as a driving force to  build capacity for staff to initiate and implement improved instruction and assessment practices; encourages staff to conduct action research; seeks ways to extend influence of knowledge and contribute to the application of effective instruction and assessment practices
"Monitoring, assisting and evaluating effective instruction and assessment practices."	C5	4	5.4 Reliably  and validly evaluates staff in effective instruction and assessment practices	Evaluations lack  strong evidence yielding potentially unreliable staff evaluations; makes claims about staff performance that are not valid; does not establish systems or routines that support improved instruction and assessment practices; little to no understanding of student diversity and its meaning in instruction and assessment	"Regularly and systematically evaluates all staff yielding valid and reliable results; recommendations lead staff to some improvement in instruction and assessment practices; developing understanding of  student diversity (culture, ability, etc.) and its meaning in instruction and assessment"	"Evaluates staff reliably and validly; provides triangulated data evidence to support claims; recommendations are effective and lead to consistently improved instruction and assessment practices; demonstrating knowledge of  student diversity (culture, ability, etc.) and its meaning in instruction and assessment "	"Is proficient AND consistently demonstrates leadership in the practice of thoroughly, reliably and validly evaluating staff in such a way that continuous improvement in instruction and assessment becomes the professional standard; provides detailed, formative assessment with exemplary feedback that leads to improvement; builds capacity in staff to accurately and validly assess self and others, promoting a culture of continual improvement due to ongoing evaluation of effective instruction and assessment practices"
Managing both staff and fiscal resources to support student achievement and legal responsibilities.	C6	1	"6.1 Managing human resources (assignment, hiring)"	"Does not adequately address issues in hiring, retention ,and placement of staff for the benefit of students in classrooms; does not put student needs at the forefront of human resource decisions; does not make an effort to ensure quality personnel in each position"	Places  the needs of students at the center of some human resource decisions with moderate effect; possesses some skills and knowledge required to recruit and retain highly qualified individuals in school positions	"Places students’ needs at the center of human resource decisions and decisions regarding hiring, retention and placement of staff; conducts a rigorous hiring process when choosing staff; focuses energy on ensuring productivity through staff placement"	Is proficient AND optimizes the school's human resources and assets of staff members to maximize opportunities for student growth; is distinguished in management of human resources and is called upon to share those successful processes outside of school; efforts produce a positive work environment that attracts outstanding talent; continuously searches for staff with outstanding potential as educators and provides the best placement of both new and existing staff to fully benefits from their strengths in  meeting the needs of a diverse student population
Managing both staff and fiscal resources to support student achievement and legal responsibilities.	C6	2	6.2 Managing  human resources (ongoing professional development) 	Staff receive inadequate  opportunities for professional development to meet students’ and staffs’ needs;  professional development offered is not of sufficient quality to be effective	Professional development plan somewhat aligns to organization’s vision and plan; PD is partly effective in leading to minor improvements in staff practice;  little or no documentation of effectiveness of  past professional development offerings and teacher outcomes	"Professional development plan has three to four areas of emphasis, job embedded, ongoing and linked to the organization’s vision and plan; systematic evaluation of the effectiveness of past PD offerings and outcomes; creates and supports informal professional development (ie. professional learning communities); offers PD that meets teachers’ needs and has elements of high-quality PD (sufficient duration, content, etc.) "	Is proficient AND has adopted research-based strategies for evaluating the effectiveness of PD documenting growth in teacher knowledge to student outcomes; can identify specific PD offerings of prior years that were systematically reviewed and either eliminated or modified to support organizational goals
Managing both staff and fiscal resources to support student achievement and legal responsibilities.	C6	3	6.3 Managing fiscal resources	Does not make fiscal decisions that maximize resources in support of improved teaching and learning; provides little or no evidence of lists of milestones or deadlines in managing time or fiscal resources; does not work with teachers to establish goals for student achievement linked to individual teacher professional development	Makes some fiscal decisions that maximize resources and support some aspects of improved teaching and learning; projects are managed using milestones and deadlines but not updated frequently; sometimes meets project deadlines but impact not frequently documented; frequently works with teachers to establish goals for student achievement linked to individual teacher professional development	"Engages others in dialogue on budget decisions based on data, School Improvement Plan, and district priorities that support learning; makes fiscal decisions that maximize resources and supports improved teaching and learning; uses defined process to track expenditures; frequently monitors data, documents and evaluates results; uses  findings to improve fiscal decisions made in the future; documented history reveals ability to manage complex projects and meet deadlines within budget; regularly works with teachers to establish goals for student achievement linked to individual teachers professional development"	Is proficient AND demonstrates leadership in the design and successful enactment of uniquely creative approaches that regularly save time and money; results indicate that strategically redirected resources have positive impact in achieving priorities; guides  decision-making such that efficacy grows among stakeholders for arriving at fiscal decisions for  improvement of teaching and learning; augments resources by writing successful state and/or federal grants; seeks numerous external funding sources; consistently works with teachers to establish goals for student achievement linked to individual teachers professional development
Managing both staff and fiscal resources to support student achievement and legal responsibilities.	C6	4	6.4  Fulfilling legal responsibilities	"Fails to demonstrate adequate knowledge of legal responsibilities; entertains behaviors and policies that conflict with the vision of improved teaching and learning or with law; tolerates behavior from self, staff and/or students that is not legal"	"Demonstrates basic knowledge and understanding of legal responsibilities; does not entertain behaviors and policies that conflict with the vision of improved teaching and learning and with law; does not tolerate illegal behavior from self, staff and/or students "	"Assumes responsibility for operating within the law; demonstrates deep and thorough knowledge and understanding of the intent of the law; operates with deep and thorough knowledge and understanding of district policies, grant requirements and collective bargaining agreements; keeps student and staff well-being at the forefront of legal responsibilities; tolerates no behavior outside of the law and approaches problems proactively"	Is proficient AND consistently demonstrates leadership for developing systems that communicate and support staff in upholding legal responsibilities; creates a culture of shared legal responsibility among students and staff; involves  stakeholders in the creation of a school culture that thrives upon and benefits from addressing legal responsibilities
Partnering with the school community to promote student learning.	C7	1	7.1 Communicates with community to promote learning	Communication is sparse and opportunities for community involvement are not fully realized or made available; not visible in community or perceived as community advocate	"Communication with the community is regular, yet is mainly informational rather than two-way; channels of communication are not accessible to all families; practices some discretion when dealing with personal information about students and staff."	"Builds effective communication systems between home, community and school that are interactive and regularly used by students, school staff and families and other stakeholders; uses multiple communication channels appropriate for cultural and language differences that exist in the community; practices a healthy discretion with personal information of students and staff"	"Is proficient AND moves beyond typical communication practices to proactively develop relationships through  home visits, innovative technology, visiting community groups, etc. with parents/guardians and community ; creates and promotes opportunities for students and families to explain and share their experiences with school; establishes a feedback loop that is invitational, transparent, effective and trusted by members of the community including open forums, focus groups or surveys; employs successful models of school, family, business, community, government and higher education partnerships to promote learning ; use of exemplary education marketing skills to establish partnerships to mobilize wealth of community resources"
Partnering with the school community to promote student learning.	C7	2	7.2 Partners with families and school community	Demonstrates little effort to engage families or the community in school activities; fails to share the vision of improved teaching and learning beyond school; does not identify and utilize community resources in support of improved student learning	Encourages and supports involvement of community and families in some school activities; shares the vision for improving teaching and learning with some families and communities; identifies and utilizes some community talent and resources in support of improved teaching and learning; limited family participation in some school decision-making processes and engagement activities	"Encourages and supports consistent and ongoing community and family engagement for stakeholders in school activities; consistently implements effective plans for engaging community outside of school to participate in school decision making to improve teaching and learning; community resources are identified and utilized in support of improved teaching and learning; actively monitors community involvement and adjusts, creating new opportunities for families and community to be a part of the vision of improving teaching and learning"	"Is proficient AND consistently demonstrates leadership in the area of effectively engaging families and the greater community in support of students, staff and the vision of improved teaching and learning; is recognized outside of school for developing and implementing programs that partner with school, family and greater community; programs are held as a model for other schools to adopt and follow; builds capacity in the community for initiating new and beneficial forms of community involvement in school; service integration through partnerships involving school, civic, counseling, cultural, health, recreation and others to meet needs of parents, caregivers and students"
Demonstrating commitment to closing the achievement gap. 	C8	1	8.1  Identifies barriers to achievement and knows how to close resulting gaps	Is unaware of achievement gaps that exist in school population and how the school and teachers have  played a role in perpetuating gaps; attributes gaps to factors outside of the school's locus of control; opportunities to learn and resources are not distributed equitably among students	Demonstrates emerging awareness of specific school-wide achievement gaps and issues of equity access; recognizes responsibility and has some confidence in teachers and school to impact these gaps; creates  new opportunities to learn 	Identifies learning gaps early using formative assessments; demonstrates complete knowledge and understanding of the existence of gaps; accepts responsibility for impacting these gaps; identifies and addresses barriers to closing gaps	"Is proficient AND focuses attention of school community on the goal of closing gaps; systematically challenges the status quo by leading change, based on data, resulting in beneficial outcomes; builds capacity among community to support the effort to close  gaps"
Demonstrating commitment to closing the achievement gap. 	C8	2	8.2  Demonstrates a commitment to close the achievement gap	Does not acknowledge the responsibility of school to close gaps; does not consider subpopulations when constructing school learning goals and targets; does not have a plan to close gaps         	 Achievement data  is accessible and shared with a portion of the school community; attempts to  target efforts towards closing achievement gaps; uses  culturally-relevant methodologies to close gaps; demonstrates  emerging  progress in closing gaps   	"Achievement data is accessible to all members of the school community including non-English speaking parents; constructs plan with specific strategies to impact gaps; communicates, monitors and adjust efforts to effectively make progress toward reducing gaps; models and builds the capacity of school personnel to be culturally competent and to implement socially just practices; demonstrates improvement in closing identified gaps"	Is proficient AND successfully keeps the work of closing gaps at the forefront of intention for  staff and community members; assumes responsibility for closing  gaps; builds capacity in staff members and others to advance learning for  students; has deep knowledge and understanding of the nature of gaps that exist at the level of group and at the level of individual students who are not reaching full learning potential
Demonstrating commitment to closing the achievement gap. 	C8	3	8.3 Provides evidence of growth in student learning	Achievement data  from multiple sources or data points show no evidence of student growth toward the district’s learning goals; there are growing achievement gaps between student subgroups	Achievement data from multiple sources or data points shows minimum evidence of student growth toward the district’s learning goals for identified subgroups of students	Achievement data from multiple sources or data points show evidence of improving student growth toward the district’s learning goals; the average achievement of the student population improved as does the achievement of each subgroup of students identified as needing improvement	"Achievement data from multiple sources or data points show  evidence of consistent growth toward the district’s learning goals; there is consistent record of improved student achievement, on multiple indicators,  with identified subgroups of students"
