Criteria	CritShortName	Sequence	RowTitle	Description/Evidence	Level 1	Level 2	Level 3	Level 4
Providing clear and intentional focus on subject matter content and curriculum.	C4	2	1c: Setting Instructional Outcomes	Designing Coherent Instruction	"<p>Outcomes represent low expectations for students and lack of rigor, and not all of them reflect important learning in the discipline.</p><p>Outcomes are stated as activities rather than as student learning. </p>Outcomes reflect only one type of learning and only one discipline or strand and are suitable for only some students."	"<p>Outcomes represent moderately high expectations and rigor.</p> <p>Some reflect important learning in the discipline and consist of a combination of outcomes and activities. </p><p>Outcomes reflect several types of learning, but teacher has made no attempt at coordination or integration.</p> Most of the outcomes are suitable for most of the students in the class in accordance with global assessments of student learning."	"<p>Most outcomes represent rigorous and important learning in the discipline. </p><p>All the instructional outcomes are clear, are written in the form of student learning, and suggest viable methods of assessment.</p> <p>Outcomes reflect several different types of learning and opportunities for coordination. </p>Outcomes take into account the varying needs of groups of students."	"<p>All outcomes represent rigorous and important learning in the discipline.</p><p> The outcomes are clear, are written in the form of student learning, and permit viable methods of assessment.</p><p> Outcomes reflect several different types of learning and, where appropriate, represent opportunities for both coordination and integration. </p>Outcomes take into account the varying needs of individual students."
Providing clear and intentional focus on subject matter content and curriculum.	C4	3	1d: Demonstrating Knowledge of Resources	Setting Instructional Outcomes	"Teacher is unaware of school or district resources for classroom use, for the expansion of his or her own knowledge, or for students."	"Teacher displays basic awareness of school or district resources available for classroom use, for the expansion of his or her own knowledge, and for students, but no knowledge of resources available more broadly."	"Teacher displays awareness of resources—not only through the school and district but also through sources external to the school and on the Internet—available for classroom use, for the expansion of his or her own knowledge, and for students."	"Teacher displays extensive knowledge of resources—not only through the school and district but also in the community, through professional organizations and universities, and on the Internet—for classroom use, for the expansion of his or her own knowledge, and for students."
Providing clear and intentional focus on subject matter content and curriculum.	C4	4	1e: Designing Coherent Instruction	Demonstrating Knowledge of Resources	<p>The series of learning experiences is poorly aligned with the instructional outcomes and does not represent a coherent structure.</p> The activities are not designed to engage students in active intellectual activity and have unrealistic time allocations. Instructional groups do not support the instructional outcomes and offer no variety.	"<p>Some of the learning activities and materials are suitable to the instructional outcomes and represent a moderate cognitive challenge but with no differentiation for different students. Instructional groups partially support the instructional outcomes, with an effort by the teacher at providing some variety. </p>The lesson or unit has a recognizable structure; the progression of activities is uneven, with most time allocations reason- able."	"<p>Teacher coordinates knowledge of content, of students, and of resources, to design a series of learning experiences aligned to instructional outcomes and suitable to groups of students.</p> <p>The learning activities have reasonable time allocations; they represent significant cognitive challenge, with some differentiation for different groups of students.</p> The lesson or unit has a clear structure, with appropriate and varied use of instructional groups."	"<p>Plans represent the coordination of in-depth content knowledge, understanding of different students’ needs, and available resources (including technology), resulting in a series of learning activities designed to engage students in high-level cognitive activity.</p><p> Learning activities are differentiated appropriately for individual learners. Instructional groups are varied appropriately with some opportunity for student choice. </p>The lesson’s or unit’s structure is clear and allows for different pathways according to diverse student needs."
"Fostering and managing a safe, positive learning environment."	C5	1	2a: Creating an Environment of Respect and Rapport	Managing classroom procedures	"<p>Patterns of classroom interactions, both between the teacher and students and among students, are mostly negative, inappropriate, or insensitive to students’ ages, cultural backgrounds, and developmental levels. Interactions are characterized by sarcasm, put-downs, or conflict. </p>Teacher does not deal with disrespectful behavior."	"<p>Patterns of classroom interactions, both between the teacher and students and among students, are generally appropriate but may reflect occasional inconsistencies, favoritism, and disregard for students’ ages, cultures, and developmental levels.</p><p> Students rarely demonstrate disrespect for one another.</p> Teacher attempts to respond to disrespectful behavior, with uneven results. The net result of the interactions is neutral, conveying neither warmth nor conflict."	"<p>Teacher-student interactions are friendly and demonstrate general caring and respect. Such interactions are appropriate to the ages of the students. </p><p>Students exhibit respect for the teacher. Inter- actions among students are generally polite and respectful.</p> Teacher responds successfully to disrespectful behavior among students. The net result of the interactions is polite and respectful, but impersonal."	"<p>Classroom interactions among the teacher and individual students are highly respectful, reflecting genuine warmth and caring and sensitivity to students as individuals.</p> Students exhibit respect for the teacher and contribute to high levels of civil interaction between all members of the class. The net result of interactions is that of connections with students as individuals."
"Fostering and managing a safe, positive learning environment."	C5	2	2c: Managing Classroom Procedures	Managing Student Behavior	"<p>Much instructional time is lost through inefficient classroom routines and procedures. </p><p>There is little or no evidence that the teacher is managing instructional groups, transitions, and/or the handling of materials and supplies effectively. </p>There is little evidence that students know or follow established routines."	"<p>Some instructional time is lost through only partially effective classroom routines and procedures.</p><p> The teacher’s management of instructional groups, transitions, and/or the handling of materials and supplies is inconsistent, the result being some disruption of learning.</p> With regular guidance and prompting, students follow established routines."	"<p>There is little loss of instructional time because of effective classroom routines and procedures. </p><p>The teacher’s management of instructional groups and the handling of materials and sup- plies are consistently successful.</p> With minimal guidance and prompting, students follow established classroom routines."	"<p>Instructional time is maximized because of efficient classroom routines and procedures.</p><p>Students contribute to the management of instructional groups, transitions, and the handling of materials and supplies. </p>Routines are well understood and may be initiated by students."
"Fostering and managing a safe, positive learning environment."	C5	3	2d: Managing Student Behavior	Creating an environment of respect and rapport	<p>There appear to be no established standards of conduct and little or no teacher monitoring of student behavior.</p><p> Students challenge the standards of conduct. </p>Response to students’ misbehavior is repressive or disrespectful of student dignity.	"<p>Standards of conduct appear to have been established, but their implementation is inconsistent. </p><p>Teacher tries, with uneven results, to monitor student behavior and respond to student misbehavior. </p>There is inconsistent implementation of the standards of conduct."	"<p>Student behavior is generally appropriate.</p><p> The teacher monitors student behavior against established standards of conduct. </p>Teacher response to student misbehavior is consistent, proportionate, respectful to students, and effective."	<p>Student behavior is entirely appropriate. </p><p>Students take an active role in monitoring their own behavior and that of other students against standards of conduct.</p><p> Teachers’ monitoring of student behavior is subtle and preventive.</p> Teacher’s response to student misbehavior is sensitive to individual student needs and respects students’ dignity.
"Fostering and managing a safe, positive learning environment."	C5	4	2e: Organizing Physical Space	Organizing physical space	"<p>The physical environment is unsafe, or many students don’t have access to learning resources. </p>There is poor coordination between the lesson activities and the arrangement of furniture and resources, including computer technology."	"<p>The classroom is safe, and essential learn- ing is accessible to most students. </p><p>The teacher’s use of physical resources, including computer technology, is moderately effective. </p>Teacher makes some attempt to modify the physical arrangement to suit learning activities, with partial success."	"<p>The classroom is safe, and learning is accessible to all students; teacher ensures that the physical arrangement is appropriate to the learning activities. </p>Teacher makes effective use of physical resources, including computer technology."	"<p>The classroom is safe, and learning is accessible to all students, including those with special needs. </p><p>Teacher makes effective use of physical resources, including computer technology. The teacher ensures that the physical arrangement is appropriate to the learning activities. </p> Students contribute to the use or adaptation of the physical environment to advance learning."
Using multiple student data elements to modify instruction and improve student learning	C6	1	1f: Designing Student Assessments	Using Assessment in Instruction	<p>Assessment procedures are not congruent with instructional outcomes; the proposed approach contains no criteria or standards.</p> Teacher has no plan to incorporate formative assessment in the lesson or unit nor any plan to use assessment results in designing future instruction.	"<p>Some of the instructional outcomes are assessed through the proposed approach, but others are not. </p><p>Assessment criteria and standards have been developed, but they are not clear.</p><p> Approach to the use of formative assessment is rudimentary, including only some of the instructional outcomes. </p>Teacher intends to use assessment results to plan for future instruction for the class as a whole."	<p>Teacher’s plan for student assessment is aligned with the instructional outcomes; assessment methodologies may have been adapted for groups of students. </p><p>Assessment criteria and standards are clear. Teacher has a well-developed strategy for using formative assessment and has designed particular approaches to be used.</p> Teacher intends to use assessment results to plan for future instruction for groups of students.	"<p>Teacher’s plan for student assessment is fully aligned with the instructional outcomes and has clear criteria and standards that show evidence of student contribution to their development.</p><p> Assessment methodologies have been adapted for individual students, as needed. </p>The approach to using formative assessment is well designed and includes student as well as teacher use of the assessment information. Teacher intends to use assessment results to plan future instruction for individual students."
Using multiple student data elements to modify instruction and improve student learning	C6	2	3d: Using Assessment in Instruction	Designing Student Assessments	<p>There is little or no assessment or monitoring of student learning; feedback is absent or of poor quality.</p> Students do not appear to be aware of the assessment criteria and do not engage in self-assessment.	"<p>Assessment is used sporadically by teacher and/or students to support instruction through some monitoring of progress in learning.</p><p> Feedback to students is general, students appear to be only partially aware of the assessment criteria used to evaluate their work, and few assess their own work.</p> Questions, prompts, and assessments are rarely used to diagnose evidence of learning."	"<p>Assessment is used regularly by teacher and/or students during the lesson through monitoring of learning progress and results in accurate, specific feedback that advances learning.</p> <p>Students appear to be aware of the assessment criteria; some of them engage in self-assessment. </p>Questions, prompts, assessments are used to diagnose evidence of learning."	"<p>Assessment is fully integrated into instruction through extensive use of formative assessment.</p><p> Students appear to be aware of, and there is some evidence that they have contributed to, the assessment criteria.</p><p> Students self-assess and monitor their progress. </p><p>A variety of feedback, from both their teacher and their peers, is accurate, specific, and advances learning. </p>Questions, prompts, assessments are used regularly to diagnose evidence of learning by individual students."
Using multiple student data elements to modify instruction and improve student learning	C6	3	4b: Maintaining Accurate Records	Maintaining Accurate Records	"<p>Teacher’s system for maintaining information on student completion of assignments and student progress in learning is nonexistent or in disarray. </p>Teacher’s records for noninstructional activities are in disarray, resulting in errors and confusion."	<p>Teacher’s system for maintaining information on student completion of assignments and student progress in learning is rudimentary and only partially effective.</p> Teacher’s records for noninstructional activities are adequate but require frequent monitoring to avoid errors.	"Teacher’s system for maintaining information on student completion of assignments, student progress in learning, and noninstructional records is fully effective."	"<p>Teacher’s system for maintaining information on student completion of assignments, student progress in learning, and noninstructional records is fully effective. </p>Students contribute information and participate in maintaining the records."
Using multiple student data elements to modify instruction and improve student learning	C6	4	SG 6.1 Establish Student Growth Goal(s)		"Does not establish student growth goals or establishes inappropriate goals for whole classroom.  Goals do not identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for whole classroom.  Goals rely on limited sources of data or low quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for whole classroom.  Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for individual students in collaboration with students and parents, and for whole classroom that align to school goals. Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."
Using multiple student data elements to modify instruction and improve student learning	C6	5	SG 6.2 Achievement of Student Growth Goal(s)		Growth or achievement data from at least two points in time shows no evidence of growth for most students.	Multiple sources of growth or achievement data from at least two points in time show some evidence of growth for some students.	Multiple sources of growth or achievement data from at least two points in time show clear evidence of growth for most students.	Multiple sources of growth or achievement data from at least two points in time show evidence of high growth for all or nearly all students.
Communicating and collaborating with parents and the school community.	C7	1	4c: Communicating with Families	Communicating with Families	"<p>Teacher communication with families— about the instructional program, about individual students—is sporadic or culturally inappropriate.</p> Teacher makes no attempt to engage families in the instructional program."	Teacher makes sporadic attempts to communicate with families about the instructional program and about the progress of individual students but does not attempt to engage families in the instructional program. Communications are one-way and not always appropriate to the cultural norms of those families.	<p>Teacher communicates frequently with families about the instructional program and conveys information about individual student progress. </p><p>Teacher makes some attempts to engage families in the instructional program.</p> Information to families is conveyed in a culturally appropriate manner.	"<p>Teacher’s communication with families is frequent and sensitive to cultural traditions, with students contributing to the communication.</p><p> Response to family concerns is handled with professional and cultural sensitivity. </p>Teacher’s efforts to engage families in the instructional program are frequent and successful."
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	1	4d: Participating in a Professional Community	Participating in a Professional Community	"<p>Teacher’s relationships with colleagues are negative or self-serving.</p><p> Teacher avoids participation in a professional culture of inquiry, resisting opportunities to become involved. </p>Teacher avoids becoming involved in school events or school and district projects."	<p>Teacher maintains cordial relationships with colleagues to fulfill duties that the school or district requires.</p><p> Teacher becomes involved in the school’s culture of professional inquiry when invited to do so.</p> Teacher participates in school events and school and district projects when specifically asked to do so.	"<p>Teacher’s relationships with colleagues are characterized by mutual support and cooperation; teacher actively participates in a culture of professional inquiry.</p> Teacher volunteers to participate in school events and in school and district projects, making a substantial contribution."	"<p>Teacher’s relationships with colleagues are characterized by mutual support and cooperation, with the teacher taking initiative in assuming leadership among the faculty. </p><p>Teacher takes a leadership role in promoting a culture of professional inquiry.</p> Teacher volunteers to participate in school events and district projects making a substantial contribution, and assuming a leadership role in at least one aspect of school or district life."
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	2	4e: Growing and Developing Professionally	Growing and Developing Professionally	<p>Teacher engages in no professional development activities to enhance knowledge or skill.</p><p> Teacher resists feedback on teaching performance from either supervisors or more experienced colleagues. </p>Teacher makes no effort to share knowledge with others or to assume professional responsibilities.	"<p>Teacher participates in professional activities to a limited extent when they are convenient.</p><p> Teacher accepts, with some reluctance, feedback on teaching performance from both supervisors and colleagues. </p>Teacher finds limited ways to contribute to the profession."	<p>Teacher seeks out opportunities for professional development to enhance content knowledge and pedagogical skill.</p><p> Teacher welcomes feedback from colleagues—either when made by supervisors or when opportunities arise through professional collaboration. </p>Teacher participates actively in assisting other educators.	<p>Teacher seeks out opportunities for professional development and makes a systematic effort to conduct action research.</p><p> Teacher seeks out feedback on teaching from both supervisors and colleagues.</p> Teacher initiates important activities to contribute to the profession.
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	3	4f: Showing Professionalism	Showing Professionalism	"<p>Teacher displays dishonesty in interactions with colleagues, students, and the public.</p><p> Teacher is not alert to students’ needs and contributes to school practices that result in some students’ being ill served by the school.</p> Teacher makes decisions and recommendations based on self-serving interests. Teacher does not comply with school and district regulations."	"<p>Teacher is honest in interactions with col- leagues, students, and the public. </p><p>Teacher attempts, though inconsistently, to serve students. Teacher does not knowingly contribute to some students’ being ill served by the school. </p><p>Teacher’s decisions and recommendations are based on limited but genuinely professional considerations.</p> Teacher complies minimally with school and district regulations, doing just enough to get by."	"<p>Teacher displays high standards of honesty, integrity, and confidentiality in interactions with colleagues, students, and the public.</p><p> Teacher is active in serving students, working to ensure that all students receive a fair opportunity to succeed. </p><p>Teacher maintains an open mind in team or departmental decision making. </p>Teacher complies fully with school and district regulations."	"<p>Teacher takes a leadership role with colleagues and can be counted on to hold to the highest standards of honesty, integrity, and confidentiality.</p><p> Teacher is highly proactive in serving students, seeking out resources when needed. Teacher makes a concerted effort to challenge negative attitudes or practices to ensure that all students, particularly those traditionally under- served, are honored in the school. </p><p>Teacher takes a leadership role in team or departmental decision making and helps ensure that such decisions are based on the highest professional standards.</p> Teacher complies fully with school and district regulations, taking a leadership role with col- leagues."
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	4	"SG 8.1 Establish Student Growth Goals, Implement and Monitor Growth"		"Does not collaborate or reluctantly collaborates with other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, high-quality measures, and to monitor growth and achievement during the year."	"Does not consistently collaborate with other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, measures, to monitor growth and achievement during the year."	"Consistently and actively collaborates with other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, high-quality measures, and to monitor growth and achievement during the year."	"Leads other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, high-quality measures, and to monitor growth and achievement during the year."
