Criteria	CritShortName	Sequence	MarDomain	MarShort	mdseq	MarSeq	RowTitle	Description/Evidence	Level 1	Level 2	Level 3	Level 4
Demonstrating effective teaching practices.	C2	7	Domain 1: Content	D1-C	2	4	2.7: Using and Applying Academic Vocabulary <br> The teacher identifies appropriate academic vocabulary aligned to the learning targets and uses various strategies for student acquisition.		The teacher does not identify important academic vocabulary specific to the lesson or does so in a manner that does not reflect the critical content.	The teacher identifies important academic vocabulary specific to the lesson and makes students aware of the meaning of these terms BUT does not monitor the extent to which students have internalized the meaning of these terms using their own background knowledge.	"The teacher identifies important academic vocabulary specific to the lesson and makes students aware of the meaning of these terms. Additionally, the teacher monitors the extent to which students have internalized the meaning of these terms using their own background knowledge."	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Demonstrating effective teaching practices.	C2	8	Domain 3: Reflecting on Teaching	D3	5	1	2.8: Evaluating Effectiveness of Individual Lessons and Units <br> The teacher reflects on and evaluates the effectiveness of instructional performance to identify areas of pedagogical strength and weakness.		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	The teacher identifies specific strategies and behaviors on which to improve but does not select the strategies and behaviors that are most useful for his or her development.	The teacher determines how effective a lesson or unit was in terms of enhancing student achievement and identifies causes of success or failure.	The teacher is a recognized leader in helping others identify areas of pedagogical strength and weakness.
Recognizing individual student learning needs and developing strategies to address those needs.	C3	1	Domain 2: Planning and Preparing	D2	4	1	3.1: Effective Scaffolding of Information Within a Lesson <br> The teacher plans and prepares for effective scaffolding of information within lessons and units that progresses toward a deep understanding and transfer of content.		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	"The teacher organizes lessons within a unit so that students move from surface to deeper understanding of content, but does not require students to apply the content in authentic ways."	"The teacher organizes content in such a way that each new piece of information clearly builds on the previous piece, and students move from understanding to applying the content through authentic tasks."	The teacher is a recognized leader in helping others scaffold lessons and units that progress toward a deep understanding and transfer of content.
Recognizing individual student learning needs and developing strategies to address those needs.	C3	2	Domain 2: Planning & Preparing	D2	4	2	"3.2: Planning and Preparing for the Needs of All Students <br> The teacher uses data to plan and provide interventions that meet individual student learning needs, including ELL, special education, and students who come from home environments that offer little support for schooling."		The teacher does not know or understand the intervention system or does not use the intervention system to address student needs.	"The teacher identifies interventions that meet the needs of specific sub-populations (e.g., ELL, special education, and students who come from environments that offer little support for learning), but does not ensure that all identified students are adequately served by the interventions."	"The teacher identifies and effectively employs interventions that meet the needs of specific sub-populations (e.g., ELL, special education, and students who come from environments that offer little support for learning)."	"The teacher is a recognized leader in helping others employ interventions that meet the needs of specific sub-populations (e.g., ELL, special education, and students who come from environments that offer little support for learning)."
Providing clear and intentional focus on subject matter content and curriculum	C4	1	Domain 2: Planning & Preparing	D2	4	3	SG 3.1 Establish Student Growth Goal(s)		Does not establish student growth goals or establishes inappropriate goals for subgroups of students not reaching full learning potential. 	"Establishes appropriate student growth goals for subgroups of students not reaching full learning potential.  Goals rely on limited source or low-quality data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for subgroups of students not reaching full learning potential.  Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for subgroups of students not reaching full potential in collaboration with students, parents, and other school staff. Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."
Providing clear and intentional focus on subject matter content and curriculum	C4	2	Domain 2: Planning & Preparing	D2	4	4	SG 3.2 Achievement of Student Growth Goal(s)		Growth or achievement data from at least two points in time shows no evidence of growth for most students.	Growth or achievement data from at least two points in time show some evidence of growth for some students.	Multiple sources of growth or achievement data from at least two points in time show clear evidence of growth for most students.	Multiple sources of growth or achievement data from at least two points in time show evidence of high growth for all or nearly allstudents.
"Fostering and managing a safe, positive learning environment."	C5	3	Domain 1: Routine 	D1-R	1	3	4.1: Attention to Established Content Standards <br> The teacher demonstrates a comprehensive understanding of the subject taught and the standards for the subject.		The teacher does not demonstrate adequate knowledge of the subject and/or the standards for the subject.	The teacher demonstrates an acceptable but incomplete knowledge of the subject and/or the standards for the subject.	The teacher demonstrates a comprehensive knowledge of the subject and the standards for the subject.	The teacher is a recognized leader in helping others understand the subject and/or the standards for the subject.
"Fostering and managing a safe, positive learning environment."	C5	1	Domain 1: Routine 	D1-R	1	4	"4.2: Use of Available Resources and Technology <br> The teacher plans and prepares for the use of available materials, including technology."		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	The teacher identifies the available materials that can enhance student understanding but does not clearly identify or describe the manner in which they will be used.	The teacher identifies the available materials that can enhance student understanding and the manner in which they will be used.	"The teacher is a recognized leader in helping others plan and prepare for the use of available materials, including technology."
"Fostering and managing a safe, positive learning environment."	C5	2	Domain 1: Enacted on the Spot	D1-E	3	6	5.1: Organizing the Physical Layout of the Classroom <br> The teacher organizes a safe physical layout of the classroom to facilitate movement and focus on learning.		"When the strategy is called for the teacher does not use it, or the teacher uses strategy incorrectly or with parts missing."	"The teacher organizes the physical layout of the classroom to ensure safety, facilitate movement, and focus on learning but the classroom layout addresses only minimal aspects of these issues."	"The teacher organizes the physical layout of the classroom to ensure safety, facilitate movement, and focus on learning and monitors the extent to which these activities enhance student learning."	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
"Fostering and managing a safe, positive learning environment."	C5	3	Domain 1: Enacted on the Spot	D1-E	3	7	5.2: Reviewing Expectations to Rules and Procedures <br> The teacher reviews expectations regarding rules and procedures to ensure their effective execution.		"When the strategy is called for the teacher does not use it, or the teacher uses strategy incorrectly or with parts missing."	The teacher establishes and reviews expectations regarding rules and procedures.	The teacher establishes and reviews expectations regarding rules and procedures and monitors the extent to which students understand the rules and procedures. 	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
"Fostering and managing a safe, positive learning environment."	C5	4	Domain 1: Enacted on the Spot	D1-E	3	8	5.3: Demonstrating “Withiness” <br> The teacher demonstrates awareness of the classroom environment at all times (withitness).		"When the strategy is called for the teacher does not use it, or the teacher uses strategy incorrectly or with parts missing."	The teacher demonstrates awareness of classroom environment.	The teacher demonstrates awareness of classroom environment and monitors the effect on students’ behavior. 	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
"Fostering and managing a safe, positive learning environment."	C5	5	Domain 1: Enacted on the Spot	D1-E	3	9	5.4: Applying Consequences for Lack of Adherence to Rules and Procedures <br> The teacher applies consequences for lack of adherence to rules and procedures.		The teacher does not apply consequences for not following rules and procedures.	The teacher applies consequences for not following rules and procedures but does not do so in a consistent and fair manner.	The teacher applies consequences for not following rules and procedures in a consistent and fair manner and monitors the extent to which rules and procedures are followed. 	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Using multiple student data elements to modify instruction and improve student learning.	C6	6	Domain 2: Planning & Preparing	D2	4	5	5.5: Acknowledging Adherence to Rules and Procedures <br> The teacher acknowledges adherence to rules and procedures.		The teacher does not acknowledge adherence to rules and procedures.	The teacher acknowledges adherence to rules and procedures but does not do so a consistent and fair manner.	The teacher acknowledges adherence to rules and procedures in a consistent and fair manner and monitors the extent to which new actions affect students’ behavior. 	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Using multiple student data elements to modify instruction and improve student learning.	C6	7	Domain 2: Planning & Preparing	D2	4	6	5.6: Displaying Objectivity and Control <br> The teacher builds positive relationships with students by displaying objectivity and control.		"When the strategy is called for the teacher does not use it, or the teacher uses strategy incorrectly or with parts missing."	The teacher behaves in an objective and controlled manner.	The teacher behaves in an objective and controlled manner and monitors the effect on the classroom climate.	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Using multiple student data elements to modify instruction and improve student learning.	C6	8	Domain 1: Routine 	D1-R	1	5	6.1: Designing Instruction Aligned to Assessment <br> The teacher designs instruction aligned to assessments that impact student learning.		The teacher does not design instruction with clear alignment to learning targets (daily) and/or learning goals (longer term). 	The teacher designs instruction with assessments aligned to learning target (daily) and/or learning goal (longer term) but does not adapt those assessments to meet student learning needs.	The teacher designs instruction with assessments aligned to clearly stated learning target (daily) and/or learning goal (longer term). Those assessments are adapted to meet student learning needs.	The teacher adapts or creates new strategies designed to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Communicating and collaborating with parents and the school community.	C7	1	Domain 4: Collegiality and Professionalism	D4	6	1	6.2: Using Multiple Data Elements <br> The teacher uses multiple data elements to modify instruction and assessments.		The teacher does not examine multiple data points with the intent of modifying instruction and assessment or does so with significant errors or omissions.	The teacher examines a few data points and makes minimal adjustments to instruction and assessment based on the information.	The teacher examines multiple data points and makes changes to instruction and assessment based on the information. Additionally the teacher monitors the extent to which the changes result in enhanced student learning.	The teacher adapts or creates new strategies designed to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Communicating and collaborating with parents and the school community.	C7	2	Domain 4: Collegiality and Professionalism	D4	6	2	6.3: Tracking Student Progress <br> The teacher provides opportunities for students to self-reflect and track progress toward learning goals.		When the strategy is called for the teacher does not use it or the teacher uses the strategy incorrectly or with parts missing.	The teacher facilitates tracking of student progress using a formative approach to assessment but does not monitor the extent to which this process enhances student learning.	The teacher facilitates tracking of student progress using a formative approach to assessment and monitors the extent to which this process enhances student learning.	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	1	Domain 4: Collegiality and Professionalism	D4	6	3	SG 6.1 Establish Student Growth Goal(s)		Does not establish student growth goals or establishes inappropriate goals for whole classroom.  	"Establishes appropriate student growth goals for whole classroom.  Goals rely on limited sources of data or low quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for whole classroom.  Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for individual students in collaboration with students and parents, and for whole classroom that align to school goals. Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	2	Domain 4: Collegiality and Professionalism	D4	6	4	SG 6.2 Achievement of Student Growth Goal(s)		Growth or achievement data from at least two points in time shows no evidence of growth for most students.	Growth or achievement data from at least two points in time show some evidence of growth for some students.	Multiple sources of growth or achievement data from at least two points in time show clear evidence of growth for most students.	Multiple sources of growth or achievement data from at least two points in time show evidence of high growth for all or nearly all students.
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	1	Domain 4: Collegiality and Professionalism	D4	6	5	"7.1: Promoting Positive Interactions about Students and Parents – Courses, Programs and School Events <br> The teacher actively communicates and collaborates with parents/guardians and school/community regarding courses, programs, and school events."		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	"The teacher attempts to communicate and collaborate with parents/guardians and school/community regarding courses, programs and school events relevant to the students’, but does not necessarily do so in a timely or clear manner."	"The teacher communicates and collaborates with parents/guardians and school/community regarding courses, programs and school events relevant to the students’ in a timely and professional manner."	"The teacher is a recognized leader in helping others communicate and collaborate with parents/guardians and school/community regarding courses, programs and school events relevant to the students’."
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	2	Domain 3: Reflecting on Teaching	D3	5	2	7.2: Promoting Positive Interactions about Students and Parents – Timeliness and Professionalism <br> The teacher communicates individual student progress to parents/guardians in a timely and professional manner.		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	"The teacher communicates individual students’ progress to parents/guardians, but does not necessarily do so in a timely or clear manner."	The teacher communicates individual students’ progress to parents/guardians in a timely and professional manner.	The teacher is a recognized leader in helping others communicate individual student progress to parents/guardians in a timely and professional manner.
Recognizing individual student learning needs and developing strategies to address those needs.	C3	3					"8.1: Seeking Mentorship for Areas of Need or Interest <br> The teacher collaborates with colleagues about student learning and instructional practices by seeking mentorship for areas of need or interest, and/or by mentoring other teachers through the sharing of ideas and strategies."		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	"The teacher seeks help and mentorship from colleagues regarding specific classroom strategies and/or mentors other teachers, but does not necessarily do so in a manner that enhances pedagogical skill."	The teacher seeks help and mentorship from colleagues regarding specific classroom strategies and/or mentors other teachers in such a manner as to enhance pedagogical skill.	The teacher is a recognized leader in mentoring others in such a way as to enhance their pedagogical skill.
Recognizing individual student learning needs and developing strategies to address those needs.	C3	4					8.2: Promoting Positive Interactions with Colleagues <br> The teacher displays dependability through active participation.		The teacher makes little or no attempt to follow established norms or collective commitments. The teacher’s behavior may be obstructing the functioning of the team/group.	The teacher attempts to follow established norms or commitments but does not comply with all norms and collective commitments.	"The teacher follows established norms and collective commitments, contributing to the overall effectiveness of the team."	The teacher consistently models established norms and collective commitments. The teacher is a recognized leader in facilitating the team/group in resolving conflict for effective functioning.
Using multiple student data elements to modify instruction and improve student learning.	C6	9					8.3: Participating in District and School Initiatives <br> The teacher participates in district and school initiatives.		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	"The teacher is aware of the district and school initiatives, but does not participate at a level consistent with his or her talents and availability."	The teacher participates in district and school initiatives at a level consistent with his or her talents and availability.	The teacher is a recognized leader in helping others be aware of and participate in district and school initiatives.
Using multiple student data elements to modify instruction and improve student learning.	C6	10					8.4: Monitoring Progress Relative to the Professional Growth and Development Plan <br> The teacher pursues professional development based on his/her written growth and development plan and monitors progress relative to that plan.		"The teacher makes no attempt to perform this activity, or the teacher attempts to perform this activity but does not actually complete or follow through with these attempts."	The teacher develops a written professional growth and development plan but does not articulate clear goals and timelines. The teacher charts his or her progress on the professional growth and development plan using established goals and timelines but does not make adaptations as needed.	"The teacher develops a written professional growth and development plan with goals and timelines, charts his or her progress, and makes adaptations as needed."	The teacher is a recognized leader in helping others develop professional growth and development plans.
Exhibiting collaborative and collegial practices focused on improving instructional practice and student learning.	C8	3					"SG 8.1 Establish Student Growth Goals, Implement and Monitor Growth"		"Does not collaborate or reluctantly collaborates with other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, high-quality measures, and to monitor growth and achievement during the year."	"Does not consistently collaborate with other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, measures, to monitor growth and achievement during the year."	"Consistently and actively collaborates with other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, high-quality measures, and to monitor growth and achievement during the year."	"Leads other grade-level, subject matter or instructional team members to establish goals, to develop and implement common, high-quality measures, and to monitor growth and achievement during the year."
